date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-05-29,353.60,353.8476,345.90,349.19,5658913,-5.59,-1.58%,349.19,1978777551.18,78108
2019-05-28,354.39,361.20,353.64,354.78,4717144,0.39,0.11%,354.78,1685604038.15,60335
2019-05-24,355.41,359.44,353.791,354.39,3830963,2.18,0.62%,354.39,1365232967.17,52321
2019-05-23,355.50,357.42,347.70,352.21,5630443,-7.52,-2.09%,352.21,1981369169.31,73771
2019-05-22,358.01,370.46,357.30,359.73,6229389,5.46,1.54%,359.73,2257828294.79,74564
2019-05-21,350.95,356.425,349.93,354.27,4026369,6.16,1.77%,354.27,1425977061.36,49559
2019-05-20,351.23,352.418,345.40,348.11,4621515,-6.34,-1.79%,348.11,1610846467.12,64055
2019-05-17,356.39,359.62,353.785,354.45,4725448,-4.86,-1.35%,354.45,1685207813.14,57217
2019-05-16,356.37,364.00,353.935,359.31,6441463,4.32,1.22%,359.31,2316944938.14,79388
2019-05-15,343.34,356.50,341.39,354.99,6340118,9.38,2.71%,354.99,2230021788.40,84193
2019-05-14,348.71,349.95,342.50,345.61,5353029,0.35,0.10%,345.61,1858165802.14,73490
2019-05-13,352.29,354.26,343.10,345.26,8026697,-15.78,-4.37%,345.26,2779986377.96,109037
2019-05-10,361.62,365.2578,353.06,361.04,5657123,-1.71,-0.47%,361.04,2030967852.27,79410
2019-05-09,360.90,364.20,352.75,362.75,5882572,-1.62,-0.44%,362.75,2114812829.17,78482
2019-05-08,367.92,369.00,361.36,364.37,6571957,-6.09,-1.64%,364.37,2397515324.29,72751
2019-05-07,377.00,379.91,365.81,370.46,6974924,-8.21,-2.17%,370.46,2589351514.04,80011
2019-05-06,377.69,381.35,376.00,378.67,5793144,-6.36,-1.65%,378.67,2191778228.41,66912
2019-05-03,381.53,385.03,378.2717,385.03,5130301,5.97,1.57%,385.03,1960940114.40,55337
2019-05-02,378.00,383.50,374.51,379.06,5398167,0.25,0.07%,379.06,2043946136.25,57497
2019-05-01,374.00,385.99,373.1746,378.81,9257284,8.27,2.23%,378.81,3530510238.16,101649
2019-04-30,369.56,374.50,368.348,370.54,3870095,-1.29,-0.35%,370.54,1438386362.29,45388
2019-04-29,373.68,374.5753,369.115,371.83,3821703,-3.02,-0.81%,371.83,1422647828.61,44884
2019-04-26,368.35,375.14,366.24,374.85,5621901,6.52,1.77%,374.85,2092309090.50,56516
2019-04-25,374.49,374.76,365.70,368.33,6255496,-5.90,-1.58%,368.33,2308539366.11,70744
2019-04-24,381.07,381.90,373.2698,374.23,6541872,-7.66,-2.01%,374.23,2464590646.84,72019
2019-04-23,375.45,384.80,374.7069,381.89,10089820,4.55,1.21%,381.89,3842321284.92,105821
2019-04-22,359.70,377.69,359.00,377.34,11980534,16.99,4.71%,377.34,4453355397.61,118288
2019-04-18,355.00,360.41,351.64,360.35,8353165,5.61,1.58%,360.35,2989097048.08,77074
2019-04-17,365.05,368.764,350.60,354.74,18054101,-4.72,-1.31%,354.74,6448099840.89,189670
2019-04-16,355.00,364.4787,352.72,359.46,18740232,10.59,3.04%,359.46,6734549384.20,203441
2019-04-15,350.71,352.21,342.27,348.87,8842344,-2.27,-0.65%,348.87,3067735973.16,98465
2019-04-12,360.69,361.75,349.36,351.14,15646199,-16.51,-4.49%,351.14,5535358845.31,170914
2019-04-11,365.00,370.12,360.81,367.65,6526899,3.73,1.02%,367.65,2392564602.78,68449
2019-04-10,365.79,368.8481,362.25,363.92,4545561,-0.79,-0.22%,363.92,1659531142.58,50761
2019-04-09,360.54,366.74,359.00,364.71,5439228,3.30,0.91%,364.71,1980205856.97,55768
