date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-06-05,124.95,125.87,124.21,125.83,24926140,2.652,2.17%,124.9871,3120520441.30,185852
2019-06-04,121.28,123.28,120.6522,123.16,29382642,3.298,2.77%,122.335,3591302321.39,223843
2019-06-03,123.85,124.37,119.01,119.84,37983637,-3.814,-3.10%,119.0372,4594284642.61,315886
2019-05-31,124.23,124.615,123.32,123.68,26646769,-2.036,-1.63%,122.8515,3297772928.07,176193
2019-05-30,125.26,125.76,124.78,125.73,16829613,0.785,0.63%,124.8878,2108615653.21,134269
2019-05-29,125.38,125.39,124.04,124.94,22763140,-1.212,-0.97%,124.1031,2841856200.67,172869
2019-05-28,126.98,128.00,126.05,126.16,23128359,-0.079,-0.06%,125.3149,2934037071.38,144834
2019-05-24,126.91,127.415,125.97,126.24,14123358,0.06,0.05%,125.3944,1787526420.85,115087
2019-05-23,126.20,126.29,124.74,126.18,23603810,-1.48,-1.17%,125.3348,2966318017.89,187282
2019-05-22,126.62,128.24,126.52,127.67,15396485,0.765,0.61%,126.8148,1964022293.35,118985
2019-05-21,127.43,127.5273,126.58,126.90,15293260,0.675,0.54%,126.0499,1942801245.22,115599
2019-05-20,126.52,127.5894,125.7607,126.22,23706934,-1.838,-1.44%,125.3745,3000400323.59,161873
2019-05-17,128.305,130.46,127.92,128.07,25770539,-0.854,-0.67%,127.2121,3320898989.83,188554
2019-05-16,126.75,129.38,126.46,128.93,30112216,2.891,2.31%,128.0663,3876031254.37,213887
2019-05-15,124.26,126.71,123.70,126.02,24722708,1.738,1.41%,125.1758,3107403670.59,187851
2019-05-14,123.87,125.88,123.70,124.73,25266315,1.366,1.12%,123.4375,3156960973.22,191848
2019-05-13,124.11,125.55,123.04,123.35,33944923,-3.741,-2.97%,122.0718,4202962434.76,286576
2019-05-10,124.91,127.93,123.82,127.13,30915084,1.613,1.30%,125.8127,3891748935.49,245854
2019-05-09,124.29,125.79,123.57,125.50,27235835,-0.01,-0.01%,124.1996,3394980986.49,211711
2019-05-08,125.44,126.37,124.75,125.51,28418996,-0.01,-0.01%,124.2095,3570321437.00,194212
