date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-08-22,222.80,225.40,218.22,222.15,6564964,1.32,0.60%,222.15,1460371541.29,62788
2019-08-21,222.01,223.22,217.60,220.83,7799744,-5.03,-2.23%,220.83,1720347384.26,77839
2019-08-20,227.62,229.09,224.54,225.86,4170527,-0.97,-0.43%,225.86,945545338.81,42497
2019-08-19,224.21,227.83,221.70,226.83,5311748,6.89,3.13%,226.83,1195871992.15,53712
2019-08-16,216.66,222.24,216.02,219.94,5207376,4.30,1.99%,219.94,1145293082.68,55937
2019-08-15,220.86,221.56,211.55,215.64,8231952,-3.98,-1.81%,215.64,1767304719.00,86778
2019-08-14,231.21,231.50,216.69,219.62,9562591,-15.38,-6.54%,219.62,2141966527.49,107794
2019-08-13,228.81,236.00,227.55,235.00,4868998,5.99,2.62%,235.00,1136524064.51,54780
2019-08-12,232.99,235.77,228.75,229.01,4663937,-6.00,-2.55%,229.01,1079361796.94,50931
2019-08-09,236.0535,238.96,233.81,235.01,3898244,-3.29,-1.38%,235.01,919539254.55,44351
2019-08-08,234.45,239.80,232.65,238.30,5274349,4.88,2.09%,238.30,1247240471.78,52901
2019-08-07,226.50,233.5688,225.80,233.42,4776500,2.67,1.16%,233.42,1098190912.88,54448
2019-08-06,231.88,232.50,225.75,230.75,5564200,2.43,1.06%,230.75,1274741839.00,62192
2019-08-05,229.60,231.3673,225.775,228.32,7028279,-6.02,-2.57%,228.32,1603592743.55,79017
2019-08-02,231.35,236.27,229.23,234.34,6136481,0.49,0.21%,234.34,1427666013.55,68136
2019-08-01,242.65,244.51,231.77,233.85,8259516,-7.76,-3.21%,233.85,1967699517.03,92927
2019-07-31,243.00,246.68,236.6501,241.61,9178208,-0.65,-0.27%,241.61,2233227564.61,103304
2019-07-30,232.90,243.36,232.18,242.26,8109014,6.49,2.75%,242.26,1941343718.88,84661
2019-07-29,227.09,235.94,226.0325,235.77,9273331,7.73,3.39%,235.77,2144762079.56,95771
2019-07-26,226.92,230.26,222.25,228.04,10027697,-0.78,-0.34%,228.04,2261902989.04,119801
2019-07-25,233.50,234.50,225.5501,228.82,22418252,-36.06,-13.61%,228.82,5129768118.73,244155
2019-07-24,259.17,266.07,258.1601,264.88,11072835,4.71,1.81%,264.88,2902891905.15,129399
2019-07-23,256.71,260.48,254.50,260.17,5023121,4.49,1.76%,260.17,1296279660.35,54226
2019-07-22,258.75,262.155,254.1911,255.68,6846273,-2.50,-0.97%,255.68,1765454737.62,77482
2019-07-19,255.69,259.96,254.62,258.18,7048410,4.64,1.83%,258.18,1815310312.73,72846
2019-07-18,255.05,255.75,251.885,253.54,4764483,-1.32,-0.52%,253.54,1209390141.01,54453
2019-07-17,255.67,258.31,253.35,254.86,9764727,2.48,0.98%,254.86,2502999141.22,82873
2019-07-16,249.30,253.53,247.9325,252.38,8148989,-1.12,-0.44%,252.38,2045578580.78,78943
2019-07-15,248.00,254.42,244.86,253.50,11000092,8.42,3.44%,253.50,2738002781.47,106559
2019-07-12,239.75,245.38,239.71,245.08,9200521,6.48,2.72%,245.08,2237015678.80,84592
2019-07-11,238.14,241.50,235.80,238.60,7514430,-0.32,-0.13%,238.60,1792975114.67,72792
2019-07-10,234.15,238.94,233.14,238.92,9145736,8.86,3.85%,238.92,2158913192.10,91107
2019-07-09,228.97,231.00,227.28,230.06,6190835,-0.28,-0.12%,230.06,1419559462.22,57305
2019-07-08,231.24,232.25,228.66,230.34,5880542,-2.76,-1.18%,230.34,1355953445.27,55632
2019-07-05,234.57,235.45,230.80,233.10,7065738,-1.80,-0.77%,233.10,1649389207.54,67956
2019-07-03,239.39,241.57,234.51,234.90,14201148,10.35,4.61%,234.90,3372618283.52,138211
